"client_names","age","dt","programs","ret"
"Nolen Jenkins-Boehm",29,2022-06-15,"bcs",1
"Jaiden Huel",25,2022-02-23,"stages",0
"Teddy Pollich",18,2021-10-24,"stages",0
"Kacie Hamill",35,2022-01-19,"challenge",0
"Krystle Lehner",32,2022-02-23,"resolve",1
"Daniel Abernathy",17,2021-08-13,"am",1
"Timothy Boehm",16,2021-11-15,"dbt",1
"Trinidad Waelchi-Armstrong",29,2022-05-23,"mhsd",0
"Cullen Kshlerin",30,2021-12-21,"rdp",0
"Olar Harris-Ziemann",39,2021-10-01,"dbt",1
"Miss Valery Predovic",30,2021-10-13,"sotrt",0
"Tamera Feil",29,2022-02-21,"am",1
"Nathanial McClure",33,2022-09-10,"am",0
"Sandy Sipes",22,2021-12-24,"brv",0
"Erla Kihn",31,2021-06-09,"brave",0
"Sannie Greenfelder",25,2021-12-19,"stages",0
"Dr. Sharita Harris MD",27,2022-04-02,"brave",1
"Gladstone O'Conner",31,2022-08-16,"resolve",1
"Mr. Bartholomew Casper",35,2022-01-04,"challenge",0
"Javonte Ebert",26,2021-11-01,"brave",0
"Dejon Bashirian-Bechtelar",23,2021-12-01,"challenge",0
"Tabatha Glover",29,2021-09-09,"brave",0
"Mr. Bowman Blanda",23,2021-12-17,"brave",0
"Stormy Sanford",24,2022-06-04,"am",0
"Leo Bayer",31,2021-08-03,"bcs",1
"Griffith Langworth",23,2021-12-09,"brave",0
"Jennings Gorczany",27,2021-08-07,"bgs",0
"Delora Stokes",23,2021-09-13,"am",0
"Shae Stracke",27,2021-12-10,"resolve",0
"Demetric Jacobson",43,2022-01-10,"resolve",0
"Jasmin Robel",28,2022-03-02,"stages",1
"Jewell Fritsch-Rau",29,2022-06-15,"bcs",1
"Jennifer Runte",24,2022-02-23,"stages",0
"Kristine Schuppe",32,2021-12-15,"mhsd",0
"Dr. Ruby Keeling",29,2022-04-04,"stages",0
"Dominick Barrows",33,2022-04-03,"stages",1
"Collette Langosh",28,2022-07-12,"stages",1
"Sylva Cormier",37,2021-08-05,"resolve",0
"Dillon Grady",26,2021-09-05,"stages",1
"Olena Wyman",31,2022-05-24,"dbt",1
"Dr. Jarret Lockman IV",30,2022-03-14,"challenge",0
"Mima Bailey PhD",33,2021-11-07,"bgs",0
"Miss Ula Wilkinson DVM",35,2021-05-25,"dbt",1
"Kelley Shields",30,2021-06-27,"dbt",1
"Casen Boehm",37,2022-07-28,"resolve",1
"Lynda Feest",35,2021-07-20,"mhsd",1
"Miss Gearldine Cummings PhD",20,2021-07-04,"am",0
"Gerry Weissnat-Stoltenberg",32,2022-02-08,"bgs",0
"Mr. Buell Cummings",33,2021-12-11,"challenge",1
"Darold Hilpert PhD",26,2021-11-02,"sotrt",0
"Louie Treutel",21,2022-06-15,"stages",0
"Mikhail Rutherford V",34,2022-02-23,"am",1
"Jarett Jakubowski",27,2021-10-24,"brave",0
"Kale Sipes IV",28,2022-01-19,"am",0
"Kunta Von",33,2022-02-23,"fbt",0
"Kate Labadie",28,2021-08-13,"dbt",1
"Lula Weimann DDS",27,2021-11-15,"am",0
"Griselda Feeney",29,2022-05-23,"bcs",1
"Destany Moen",33,2021-12-21,"challenge",0
"Amiah Auer PhD",24,2021-10-01,"mhsd",0
"Ferne Murray",37,2021-10-13,"challenge",0
"Maceo Kshlerin",38,2022-02-21,"sotrt",1
"Jill Mayer",31,2022-09-10,"am",0
"Miss Kaelyn Lind MD",31,2021-12-24,"brv",0
"Dr. Eusebio Von MD",32,2021-06-09,"am",1
"Marc Becker",16,2021-12-19,"am",0
"Rod Haley",30,2022-04-02,"rdap",1
"Ms. Neta Gaylord DDS",36,2022-08-16,"bcs",1
"Mrs. Clem Osinski DDS",25,2022-01-04,"am",0
"Pablo Hoppe",22,2021-11-01,"fbt",0
"Roy Bashirian-Hilpert",24,2021-12-01,"challenge",0
"Nolan Beahan",23,2021-09-09,"stages",0
"Arvid Schowalter-Koepp",36,2021-12-17,"brave",0
"Scottie Lebsack",31,2022-06-04,"resolve",1
"Abelardo Fahey",27,2021-08-03,"bcs",0
"Delinda Goldner",26,2021-12-09,"challenge",1
"Donovan Rutherford",33,2021-08-07,"stages",0
"Mr. Erick Jakubowski",24,2021-09-13,"dbt",1
"Mr. Gunnar Watsica Sr.",27,2021-12-10,"stages",1
"Santiago Turcotte I",20,2022-01-10,"challenge",0
"Montie Franecki",20,2022-03-02,"am",0
"Noelia Marvin",26,2022-06-15,"challenge",0
"Nicholas Romaguera III",29,2022-02-23,"stages",0
"Clovis Wilderman III",27,2021-12-15,"bcs",1
"Debi Shanahan",29,2022-04-04,"am",1
"April Kshlerin",26,2022-04-03,"challenge",0
"Mr. Mariano Quigley",23,2022-07-12,"stages",0
"Dr. Candido Runolfsson",35,2021-08-05,"am",0
"Tevin Lindgren-Hane",24,2021-09-05,"resolve",1
"Gwendolyn Luettgen",23,2022-05-24,"challenge",0
"Foch Kautzer",30,2022-03-14,"challenge",0
"Brook Cassin DDS",32,2021-11-07,"am",1
"Shafter Hyatt",33,2021-05-25,"am",0
"Doc Aufderhar-Mitchell",37,2021-06-27,"stages",0
"Monte Bode",36,2022-07-28,"fbt",0
"Dr. Abel Heaney IV",29,2021-07-20,"brave",0
"Anne Dicki",25,2021-07-04,"am",0
"Alida Bailey",26,2022-02-08,"rdp",0
"Flint Price",32,2021-12-11,"challenge",0
"Mcarthur Corwin PhD",20,2021-11-02,"rdp",0
"Lindy Denesik Sr.",37,2022-06-15,"stages",0
"Dr. Olof Quigley I",34,2022-02-23,"rdap",1
"Ebenezer Lubowitz PhD",35,2021-10-24,"mhsd",0
"Ms. Joslyn Harris MD",35,2022-01-19,"rdp",0
"Kiarra Baumbach",27,2022-02-23,"brave",0
"Ms. Corinne Schuster",35,2021-08-13,"challenge",0
"Gregory Hodkiewicz-Rowe",24,2021-11-15,"rdap",1
"Denzel Will",35,2022-05-23,"sotrt",0
"Tory Frami",26,2021-12-21,"bcs",0
"Eliza Stoltenberg",35,2021-10-01,"resolve",1
"Mrs. Lugenia Nicolas PhD",28,2021-10-13,"sotrt",0
"Miss Jolette Hilll",26,2022-02-21,"rdap",1
"Rahn Purdy",25,2022-09-10,"stages",0
"Tyrus Mayer",21,2021-12-24,"rdp",0
"Mr. Hamp VonRueden",38,2021-06-09,"rdp",0
"Mills Zemlak",29,2021-12-19,"am",0
"Chas King",27,2022-04-02,"am",0
"Haven Rippin",22,2022-08-16,"am",0
"Karsyn Eichmann",35,2022-01-04,"bgs",0
"Kareem Herzog MD",34,2021-11-01,"rdp",0
"Mr. Cornelious Stracke IV",33,2021-12-01,"sotrt",1
"Stevie Bartell",27,2021-09-09,"mhsd",1
"Eston Volkman",26,2021-12-17,"brave",0
"Joel Willms",32,2022-06-04,"resolve",1
"Friend Witting",33,2021-08-03,"challenge",1
"Dr. Gunner Dooley V",25,2021-12-09,"fbt",0
"Josefita Homenick",30,2021-08-07,"stages",0
"Ms. Brianna Kub PhD",26,2021-09-13,"sotrt",0
"Anabelle Bayer MD",27,2021-12-10,"stages",0
"Stewart Adams",28,2022-01-10,"challenge",0
"Ms. Deborrah Lemke MD",23,2022-03-02,"rdap",1
"Arminda Predovic MD",24,2022-06-15,"bgs",0
"Tawanna Mitchell",26,2022-02-23,"sotrt",1
"Ms. Lesly Kuhn MD",27,2021-12-15,"resolve",1
"Vinie Dare MD",32,2022-04-04,"stages",1
"Barbie Gutkowski",21,2022-04-03,"mhsd",0
"Johnathon Mayer-Spencer",27,2022-07-12,"am",1
"Ms. Madelynn Nader",28,2021-08-05,"fbt",0
"Ms. Tobi Gleichner DDS",37,2021-09-05,"challenge",0
"Daunte Bergnaum",25,2022-05-24,"resolve",1
"Kinsey DuBuque",29,2022-03-14,"dbt",1
"Alger Smith",25,2021-11-07,"rdap",1
"Mr. Dink Legros DDS",34,2021-05-25,"rdp",0
"Brittnie Keebler DDS",26,2021-06-27,"stages",0
"Lillia Kutch",36,2022-07-28,"bcs",1
"Madisen Prohaska",34,2021-07-20,"challenge",0
"Chris Thompson",35,2021-07-04,"bcs",1
"Fredrick McKenzie-Fay",29,2022-02-08,"mhsd",0
"Tamia Fay",31,2021-12-11,"stages",0
"Mariana Boyle-Moore",34,2021-11-02,"am",1
"Mrs. Maxine Halvorson DVM",42,2022-06-15,"challenge",0
"Victor Hane I",29,2022-02-23,"bcs",1
"Ms. Hadley Pollich PhD",26,2021-10-24,"resolve",0
"Aleah Dickens",26,2022-01-19,"brave",0
"Prentice Roberts",33,2022-02-23,"brave",0
"Tisha Weimann PhD",38,2021-08-13,"dbt",1
"Keagan Mayert",32,2021-11-15,"resolve",0
"Mrs. Devon Lindgren DVM",20,2022-05-23,"brave",0
"Rosie Bailey",24,2021-12-21,"rdap",1
"Easton Flatley",26,2021-10-01,"challenge",1
"Kazuo Wunsch",37,2021-10-13,"resolve",0
"Miss Olivia Bernier DDS",30,2022-02-21,"stages",0
"Dr. Semaj Stamm III",28,2022-09-10,"rdp",0
"Dahlia Johns",28,2021-12-24,"am",0
"Miss Kiya Goyette DVM",36,2021-06-09,"rdp",0
"Rachael Shields PhD",37,2021-12-19,"challenge",0
"Dr. Elliott Beier",23,2022-04-02,"rdap",1
"Collin Fisher",29,2022-08-16,"stages",0
"Vinton Toy-Lindgren",30,2022-01-04,"am",0
"Clare Haag",30,2021-11-01,"am",0
"Julie Moen",29,2021-12-01,"resolve",1
"Kayson Hilpert-Skiles",31,2021-09-09,"challenge",0
"Aryana Wolff PhD",20,2021-12-17,"stages",0
"Mrs. Vanesa Rau",34,2022-06-04,"brv",0
"Darien Toy-Pouros",24,2021-08-03,"resolve",0
"Dr. Darron Schaefer",27,2021-12-09,"rdap",1
"Dr. Chris Schroeder",27,2021-08-07,"bgs",0
"Troy Gulgowski",32,2021-09-13,"stages",0
"Enoch Russel",25,2021-12-10,"am",0
"Alecia Kuphal",32,2022-01-10,"am",0
"Gladis Lemke",27,2022-03-02,"bcs",0
"Ms. Kaylen Stamm DDS",35,2022-06-15,"mhsd",0
"Hollie Bergstrom",37,2022-02-23,"resolve",0
"Angel McGlynn-Mertz",32,2021-12-15,"bcs",1
"Ms. Eleonora Prohaska",32,2022-04-04,"bgs",0
"Cheryle Stoltenberg",29,2022-04-03,"mhsd",0
"Monica Keebler-Batz",25,2022-07-12,"bcs",1
"Colten Shanahan",34,2021-08-05,"am",0
"Mr. Hyrum Streich Sr.",29,2021-09-05,"stages",0
"Brinda Schamberger",36,2022-05-24,"stages",1
"Dr. Napoleon Cartwright PhD",36,2022-03-14,"fbt",0
"Junior Larkin",33,2021-11-07,"sotrt",0
"Zollie Murray",25,2021-05-25,"rdp",0
"Emilie Dickens",25,2021-06-27,"rdap",1
"Katherin Hagenes",37,2022-07-28,"resolve",1
"Sandi Gleichner MD",20,2021-07-20,"dbt",1
"Lolla Ullrich",36,2021-07-04,"challenge",0
"Dr. Ana Leuschke DDS",17,2022-02-08,"brv",0
"Malakai Olson",29,2021-12-11,"stages",1
"Reginald Collier",29,2021-11-02,"brave",0
"Sullivan Heidenreich",28,2022-06-15,"rdap",1
"Jacki Oberbrunner",29,2022-02-23,"challenge",0
"Governor Ruecker",25,2021-10-24,"fbt",0
"Levar Abshire",30,2022-01-19,"challenge",0
"Dr. Gaines Rolfson I",27,2022-02-23,"rdap",1
"Davey Trantow",27,2021-08-13,"brave",0
"Malvin McClure",23,2021-11-15,"bcs",1
"Herschel Torp",34,2022-05-23,"am",1
"Romie Bogisich",26,2021-12-21,"bcs",1
"Mr. Cas Kilback",29,2021-10-01,"stages",1
"Dr. Dominick Jacobi Sr.",24,2021-10-13,"bcs",0
"Booker Turner-Little",30,2022-02-21,"bgs",0
"Mrs. Laraine Kunde DDS",31,2022-09-10,"rdap",1
"Dr. Shelia Larson DDS",28,2021-12-24,"challenge",0
"Carleigh Labadie",28,2021-06-09,"stages",0
"Erasmo Parker-Pfeffer",30,2021-12-19,"rdap",1
"Mr. Brendon Sawayn",38,2022-04-02,"resolve",0
"Miss Hazel Wyman",26,2022-08-16,"stages",1
"Katy Schuster",25,2022-01-04,"rdap",1
"Brady Mueller-Funk",36,2021-11-01,"stages",0
"Mr. Shayne Greenholt",26,2021-12-01,"bgs",0
"Kyara Sauer",16,2021-09-09,"challenge",0
"Paloma Fisher DVM",28,2021-12-17,"challenge",0
"Ignatz Rau",27,2022-06-04,"bcs",1
"Mr. Godfrey Beier I",22,2021-08-03,"challenge",1
"Ms. Leatha Graham",36,2021-12-09,"stages",0
"Miss Jasmyn O'Conner",33,2021-08-07,"resolve",1
"Michele Deckow",28,2021-09-13,"stages",0
"Lloyd Zieme",21,2021-12-10,"am",1
"Ms. Akeelah Kovacek MD",30,2022-01-10,"brv",0
"Ms. Frona Hauck",24,2022-03-02,"sotrt",1
"Mae Bogisich-Runolfsson",24,2022-06-15,"challenge",0
"Dr. Beckham Luettgen",32,2022-02-23,"mhsd",0
"Lisbeth King",28,2021-12-15,"sotrt",0
"Dr. Christophe Goldner DDS",26,2022-04-04,"rdap",1
"Natasha Stokes",23,2022-04-03,"rdap",1
"Mellissa Wilderman",31,2022-07-12,"challenge",1
"Tommy Schiller-Hand",33,2021-08-05,"brv",0
"Ashley Russel",31,2021-09-05,"dbt",1
"Trena Marvin PhD",26,2022-05-24,"fbt",0
"Orla Konopelski",25,2022-03-14,"am",1
"Clell Christiansen MD",32,2021-11-07,"am",0
"Cyntha Daniel",20,2021-05-25,"sotrt",0
"Mable Batz MD",37,2021-06-27,"brave",0
"Charolette Mann DVM",31,2022-07-28,"stages",1
"Eldon Franecki",28,2021-07-20,"bcs",0
"Penelope Smitham-Ruecker",26,2021-07-04,"stages",1
"Tiera Lowe",34,2022-02-08,"rdap",1
"Mrs. Kristan McDermott PhD",31,2021-12-11,"am",1
"Kiara Buckridge",18,2021-11-02,"challenge",0
"Benjamine Boehm",29,2022-06-15,"stages",0
"Pearla Wisoky",31,2022-02-23,"challenge",0
"Miss Makena Windler",38,2021-10-24,"am",0
"Mr. Cooper Veum",34,2022-01-19,"am",0
"Atha Ritchie II",41,2022-02-23,"stages",1
"Orla Franecki",24,2021-08-13,"bcs",1
"Iola Hayes",33,2021-11-15,"rdp",0
"Shawnda Pouros",32,2022-05-23,"stages",0
"Lori Hayes",25,2021-12-21,"brave",0
"Leo Lehner",26,2021-10-01,"am",1
"Dr. Royce Pouros DVM",31,2021-10-13,"mhsd",0
"Domenic Veum DDS",27,2022-02-21,"am",1
"Rubye Grant",29,2022-09-10,"brv",0
"Litha Roob",25,2021-12-24,"challenge",0
"Clella Medhurst",23,2021-06-09,"fbt",0
"Malorie Lehner",36,2021-12-19,"challenge",0
"Braden Schowalter",28,2022-04-02,"sotrt",1
"Shannen Schuppe",24,2022-08-16,"challenge",0
"Aline Schiller",28,2022-01-04,"resolve",1
"Dr. Ruie O'Connell DDS",29,2021-11-01,"brave",1
"Ms. Jacqueline Prosacco DDS",36,2021-12-01,"resolve",1
"Lacey Collins",34,2021-09-09,"am",1
"Ryder Hermiston",23,2021-12-17,"stages",0
"Dr. Rafaela Osinski DVM",30,2022-06-04,"am",1
"Bradly Herzog",23,2021-08-03,"challenge",0
"Cannie Sanford",30,2021-12-09,"am",0
"Mr. Walt Leffler",31,2021-08-07,"sotrt",1
"Annabell Mosciski-Osinski",26,2021-09-13,"bcs",0
"Zetta Stokes",33,2021-12-10,"am",0
"Olie Boehm PhD",21,2022-01-10,"am",0
"Aura Krajcik",23,2022-03-02,"bgs",0
"Dr. Agustin Daugherty",34,2022-06-15,"dbt",1
"Mittie Lesch",31,2022-02-23,"am",0
"Miss Laila Borer",32,2021-12-15,"rdap",1
"Amir Connelly",31,2022-04-04,"challenge",0
"Rollie Upton",30,2022-04-03,"bcs",1
"Anders Abbott",35,2022-07-12,"challenge",0
"Jared Halvorson",26,2021-08-05,"challenge",0
"Patricia Armstrong PhD",22,2021-09-05,"rdap",1
"Norine Bogan-Fay",30,2022-05-24,"challenge",0
"Belva Blick DVM",28,2022-03-14,"am",1
"Hobert McCullough",38,2021-11-07,"brave",0
"Mell Hettinger",21,2021-05-25,"am",0
"Dr. West Greenholt Sr.",24,2021-06-27,"dbt",1
"Carleigh Wunsch PhD",27,2022-07-28,"resolve",1
"Ms. Lashanda Kozey PhD",24,2021-07-20,"sotrt",1
"Euphemia Bartell",31,2021-07-04,"dbt",1
"Lyric Schulist",23,2022-02-08,"stages",0
"Mr. Shamar Littel MD",32,2021-12-11,"resolve",0
"Jaycie Johns",30,2021-11-02,"bcs",1
"Aloysius Tillman",31,2022-06-15,"bcs",0
"Dellie Jaskolski DDS",33,2022-02-23,"challenge",0
"Antionette Lemke",28,2021-10-24,"stages",0
"Donia Doyle",32,2022-01-19,"challenge",1
"Kaylee Swift",36,2022-02-23,"dbt",1
"Chet Jakubowski",36,2021-08-13,"resolve",1
"Zack Becker",31,2021-11-15,"bgs",0
"Miss Kori Hessel DDS",29,2022-05-23,"resolve",0
"Dr. Christop Romaguera PhD",31,2021-12-21,"am",0
"Mr. Kelton White",34,2021-10-01,"brave",0
"Dr. Charlotta Volkman",26,2021-10-13,"rdp",0
"Clark Stark-Kertzmann",33,2022-02-21,"am",0
"Penni Nikolaus",33,2022-09-10,"bcs",1
"Ms. Clem Hyatt",26,2021-12-24,"stages",0
"Rosco McDermott",27,2021-06-09,"resolve",1
"Jorge Green",32,2021-12-19,"sotrt",0
"Jason Boyle",20,2022-04-02,"stages",0
"Taurean Bergstrom",14,2022-08-16,"sotrt",1
"Jacki Braun",29,2022-01-04,"bgs",0
"Elissa Hilpert DDS",22,2021-11-01,"mhsd",0
"Infant Schamberger",24,2021-12-01,"challenge",0
"Ms. Ashtyn Ernser DDS",26,2021-09-09,"stages",0
"Mr. Daquan Vandervort IV",38,2021-12-17,"brv",0
"Greene Gorczany",30,2022-06-04,"challenge",0
"Maleah Gusikowski DDS",33,2021-08-03,"am",0
"Harlie Gerhold DDS",26,2021-12-09,"challenge",0
"Yazmin Kuhlman MD",23,2021-08-07,"am",0
"Herschel Koch Sr.",33,2021-09-13,"brv",0
"Delwin Stark",20,2021-12-10,"bgs",0
"Dr. Floy Bayer",21,2022-01-10,"stages",0
"Alvia Rodriguez Sr.",30,2022-03-02,"bcs",0
"Hurley Murray Sr.",26,2022-06-15,"challenge",0
"Benito Schaefer",34,2022-02-23,"rdap",1
"Vinnie Zieme",23,2021-12-15,"resolve",0
"Buell Eichmann",31,2022-04-04,"fbt",0
"Dr. Alvie Nikolaus",23,2022-04-03,"sotrt",1
"Brook Kuvalis-Kiehn",23,2022-07-12,"bcs",0
"Giuliana Daugherty",19,2021-08-05,"brave",1
"Carry Gerlach",28,2021-09-05,"mhsd",0
"Roxana O'Connell",23,2022-05-24,"challenge",1
"Theda Hoeger",23,2022-03-14,"stages",0
"Dr. Gearld Donnelly",32,2021-11-07,"brave",0
"Mr. Vernon Haag",31,2021-05-25,"dbt",1
"Dr. Garland Hauck",30,2021-06-27,"stages",0
"Amberly Bashirian",32,2022-07-28,"bcs",1
"Dr. Manie Miller PhD",33,2021-07-20,"mhsd",1
"Frederic Sipes",28,2021-07-04,"stages",0
"Arnold Connelly-Wilderman",23,2022-02-08,"stages",1
"Ms. Garnet Howell MD",19,2021-12-11,"challenge",0
"Dr. Jayda Mraz PhD",28,2021-11-02,"resolve",0
"Marietta Kshlerin MD",28,2022-06-15,"rdap",1
"Dr. Jensen Herman I",23,2022-02-23,"fbt",0
"Ms. Nicola Bergnaum DDS",31,2021-10-24,"brave",0
"Jerod Conroy",23,2022-01-19,"challenge",0
"Clella Paucek",24,2022-02-23,"am",0
"Dr. Dedric Towne PhD",25,2021-08-13,"challenge",0
"Tyshawn Cartwright",29,2021-11-15,"mhsd",0
"Dr. Priscilla Emmerich",27,2022-05-23,"brv",0
"Linton Kulas-Bode",28,2021-12-21,"brv",0
"Rafael Satterfield",31,2021-10-01,"stages",0
"Ashly Hettinger PhD",23,2021-10-13,"mhsd",1
"Zillah Reichel MD",28,2022-02-21,"bcs",0
"Maranda Rath DVM",26,2022-09-10,"brave",0
"Sylas Smith-Feest",35,2021-12-24,"am",1
"Latonia Shields",29,2021-06-09,"bcs",0
"Cory Gleichner",32,2021-12-19,"bcs",0
"Barton Bartoletti DVM",33,2022-04-02,"am",1
"Celie Carroll DDS",25,2022-08-16,"challenge",0
"Florie Senger",33,2022-01-04,"stages",0
"Queen Olson",24,2021-11-01,"am",0
"Donny Reichert",32,2021-12-01,"challenge",0
"Miss Kathyrn Jaskolski DDS",26,2021-09-09,"brave",0
"Dr. Tinnie Gutmann",31,2021-12-17,"stages",1
"Brisa Moen",36,2022-06-04,"brave",0
"Khadijah Crooks",18,2021-08-03,"mhsd",1
"Haskell Murray",40,2021-12-09,"challenge",0
"Ms. Veola Cummings",31,2021-08-07,"rdp",0
"Adela Douglas PhD",30,2021-09-13,"brave",0
"Mercer Schmeler",25,2021-12-10,"am",0
"Aubrey Olson",25,2022-01-10,"stages",0
"Lahoma Cassin",30,2022-03-02,"challenge",0
"Andrae Lakin I",29,2022-06-15,"mhsd",1
"Myrna Aufderhar",35,2022-02-23,"fbt",0
"Destiny Bechtelar",29,2021-12-15,"resolve",0
"Joellen Blanda",28,2022-04-04,"resolve",0
"Baby Corwin",35,2022-04-03,"am",1
"Blake Raynor",23,2022-07-12,"brv",0
"Coen Cronin",29,2021-08-05,"stages",1
"Darcy Hamill",27,2021-09-05,"bgs",0
"Mychal Leannon II",27,2022-05-24,"dbt",1
"Debby Pouros DDS",20,2022-03-14,"rdap",1
"Dr. Delois Walsh DVM",30,2021-11-07,"stages",0
"Heaven Schultz DDS",26,2021-05-25,"stages",1
"Ottie Raynor",24,2021-06-27,"bcs",1
"Mrs. Oralia Conn",18,2022-07-28,"challenge",0
"Eugenio Bayer",32,2021-07-20,"sotrt",1
"Mrs. Odelia Runolfsdottir",29,2021-07-04,"bgs",0
"Alwin Farrell",17,2022-02-08,"am",0
"Dr. Vernice Goldner DDS",22,2021-12-11,"resolve",1
"Ingrid Sauer",19,2021-11-02,"stages",0
"Acy Brakus",25,2022-06-15,"challenge",0
"Alethea Ankunding",27,2022-02-23,"challenge",1
"Tate Hilll",34,2021-10-24,"stages",0
"Dr. Esker Pfannerstill PhD",30,2022-01-19,"challenge",0
"Shanna Grant",26,2022-02-23,"mhsd",0
"Gay Heller",32,2021-08-13,"challenge",1
"Gerry Predovic",24,2021-11-15,"brave",1
"Neoma Goyette-Boehm",44,2022-05-23,"mhsd",0
"Eber Kessler",34,2021-12-21,"brv",0
"Mrs. Lonie Bednar PhD",25,2021-10-01,"stages",0
"Tom Stanton",31,2021-10-13,"brave",0
"Courtney Hamill",36,2022-02-21,"stages",0
"Ayana Rippin-Rodriguez",26,2022-09-10,"stages",0
"Alan Parisian",27,2021-12-24,"bgs",0
"April Runte",32,2021-06-09,"brave",0
"Kyleigh Huel",28,2021-12-19,"am",0
"Ms. Sunday Denesik",29,2022-04-02,"rdp",0
"Yvette Hermann",34,2022-08-16,"am",0
"Dr. Rozanne Greenholt MD",31,2022-01-04,"challenge",0
"Miss Katlyn Hickle",40,2021-11-01,"challenge",0
"Dr. Ahmad Bartoletti",25,2021-12-01,"rdp",0
"Dr. Sky Casper DVM",34,2021-09-09,"challenge",0
"Ciji Hansen",29,2021-12-17,"resolve",0
"Amir Howell",28,2022-06-04,"stages",0
"Demond Bode-Eichmann",27,2021-08-03,"stages",0
"Donovan Wiegand",27,2021-12-09,"am",0
"Demond Windler DVM",29,2021-08-07,"challenge",0
"Gillie Murazik",29,2021-09-13,"stages",0
"Adolfo Olson",27,2021-12-10,"challenge",0
"Rolanda Stamm MD",24,2022-01-10,"brave",0
"Idella Mueller",32,2022-03-02,"mhsd",0
"Anissa Windler",24,2022-06-15,"challenge",0
"Lani Heathcote-Kovacek",34,2022-02-23,"sotrt",1
"Cornie Prohaska",20,2021-12-15,"brv",0
"Dr. Evangeline DuBuque DDS",35,2022-04-04,"challenge",0
"Ms. Jaclyn Schowalter",24,2022-04-03,"rdp",0
"Karolyn Williamson",36,2022-07-12,"challenge",1
"Jana Marks",25,2021-08-05,"challenge",1
"Bina Runolfsson",30,2021-09-05,"rdap",1
"Marianne Schneider-Blanda",35,2022-05-24,"sotrt",1
"Kathern Koelpin",29,2022-03-14,"rdp",0
"Luigi Pagac",28,2021-11-07,"rdp",0
"Verla Schoen PhD",30,2021-05-25,"dbt",1
"Codey Will PhD",24,2021-06-27,"bgs",0
"Haylie Runolfsson",27,2022-07-28,"stages",0
"Levon Padberg",27,2021-07-20,"brv",0
"Ms. Georganna Bashirian DVM",17,2021-07-04,"brave",0
"Derek Weissnat",30,2022-02-08,"rdp",0
"Prentiss Oberbrunner",26,2021-12-11,"fbt",0
"Alexina Kessler",32,2021-11-02,"mhsd",0
"Shelly McKenzie",32,2022-06-15,"brave",0
"Dillan Bernhard",28,2022-02-23,"am",1
"Declan Anderson",28,2021-10-24,"challenge",0
"Ms. Allyssa Spencer",29,2022-01-19,"brave",0
"Jerusha Murray-Schaden",28,2022-02-23,"stages",0
"Dr. Macie Pollich",29,2021-08-13,"bcs",0
"Jameson D'Amore",31,2021-11-15,"resolve",1
"Derrell Marquardt",27,2022-05-23,"stages",0
"Theodosia Koepp",30,2021-12-21,"sotrt",1
"Ms. Jeana Mitchell PhD",25,2021-10-01,"rdp",0
"Eugenie Schultz",33,2021-10-13,"am",1
"Fount Johnson",34,2022-02-21,"rdap",1
"Chip Fadel Sr.",37,2022-09-10,"rdap",1
"Dr. Reece Feil PhD",18,2021-12-24,"challenge",0
"Mr. Edison Rohan II",25,2021-06-09,"resolve",1
"Miss Amiyah Gislason MD",34,2021-12-19,"stages",1
"Mr. Demond Schaefer",22,2022-04-02,"resolve",0
"Matilde Greenfelder-Blick",27,2022-08-16,"fbt",0
"Algernon Watsica",30,2022-01-04,"fbt",0
"Ariella Reinger",31,2021-11-01,"am",1
"Candido Mueller",30,2021-12-01,"bcs",1
"Lethia Huel",33,2021-09-09,"bcs",0
"Ms. Mabel Rath MD",30,2021-12-17,"brave",0
"Dr. Hoyt Kozey Sr.",35,2022-06-04,"stages",0
"Viridiana Ferry DVM",36,2021-08-03,"brave",0
"Eva Mitchell DDS",26,2021-12-09,"brave",0
"Buren Goyette MD",31,2021-08-07,"brave",1
"Landen Kemmer",30,2021-09-13,"stages",0
"Vance Flatley",31,2021-12-10,"rdp",0
"Gerri Dicki MD",23,2022-01-10,"am",1
"Dr. Kelsey Schulist",28,2022-03-02,"stages",0
"Mrs. Karyme Schmeler",28,2022-06-15,"dbt",1
"Ilah Legros",29,2022-02-23,"stages",0
"Mr. Eusebio Gorczany IV",36,2021-12-15,"brv",0
"Miss Crissie Goyette",27,2022-04-04,"challenge",0
"Orvin Marvin",33,2022-04-03,"rdap",1
"Will Witting",29,2022-07-12,"bcs",1
"Lauri Kozey-Jerde",31,2021-08-05,"mhsd",1
"Shae Parisian",32,2021-09-05,"rdp",0
"Mayra Herman MD",30,2022-05-24,"sotrt",0
"Darci O'Keefe",38,2022-03-14,"rdap",1
"Sue Eichmann-Tremblay",30,2021-11-07,"bcs",1
"Kristina Herman",21,2021-05-25,"stages",0
